NombreES,NombreEN,Precio,DescripcionMenuES,DescripcionMenuEN,TipoES,TipoEN,SubTipoES,SubTipoEN,DietaES,DietaEN,CuidadoES,CuidadoEN,Estado,Foto,Receta,_id,GRUPO,PRINT,SUB_GRUPO,Order,Comp_Lunch
Affogatto con espuma de café,Coffee foam affogato,10000,Helado de vainilla cubierto de espuma de café,Vanilla ice cream topped with coffee foam,Café,Coffee,Frío,Cold,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=15K-o7N3LFh-Oviyc_rjc6IoOjrhqeB4p&sz=w1000-h1000,0cc41787-80d0-4610-b9fa-d5e1a06a029e,0f31bc29-2357-4251-9ca6-dcaf95f9ce4a,CAFE,false,CAFE_METODOS,,
Soda limón & romero,Lemon & rosemary soda,7000,Soda con limón tahití y romero macerado,Soda with Tahitian lemon and macerated rosemary,Bebidas,Drinks,Frío,Cold,NA,NA,NA,NA,Inactivo,https://drive.google.com/thumbnail?id=14QbAOiTVGkSva9qwpKej8Es766a4T41e&sz=w1000-h1000,,14ae1d05-a150-46a6-b036-465aca144b9b,REPOSTERIA,,,,
Agua en Botella Con Gas,Bottlered Water With Gas,3500,,,Bebidas,Drinks,Frío,Cold,,,,,Activo,,,15cb8ed7-ea6a-4f79-a1ef-7589abdcf53e,BEBIDAS,,,,
Adicion Arepa,Add Arepa,3000,,,Adición,Sides,,,,,,,Activo,,,17f1446c-08f5-419e-9e78-26586ebeb14b,ADICIONES,true,ADICIONES_COMIDAS,,
Té chai latte,"Chai Tea Latte ",10000,Té chai en leche espumada espolvoreado con canela,Chai tea in frothed milk sprinkled with cinnamon,Bebidas,Drinks,Caliente,Hot,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=171fATH58EPwz6YE8IDlWJfxlz7gQ7dPh&sz=w1000-h1000,cba05045-135f-46fd-9d74-1c5496ccba1e,1adde2ad-b028-4bcb-a89b-c3dc7704332d,BEBIDAS,true,,,
"Bowl de yogurt griego, granola, chocolate y nueces","Greek yogurt bowl, granola, chocolate & walnuts",20000,"Yogurt griego artesanal servido con granola, chocolate, nueces y frutas de temporada","Artisanal greek yogurt served with granola, chocolate, walnuts & seasonal fruits",Desayuno,Breackfast,Dulce,Sweet,Vegetarino,Vegeterian,Nueces,Walnuts,Activo,https://drive.google.com/thumbnail?id=12b_UrnrSx2Z92N3K6HO1HLJ9qKG0cv2v&sz=w1000-h1000,,1f4dd3e0-85de-4514-80d3-ed5e88242c1c,DESAYUNO,true,DESAYUNO_DULCE,,
Palito de Queso,"Cheese Stick ",8000,"Palito de queso fresco, servido con mermelada de frutas de la casa.","Fresh cheese stick, served with house-made fruit jam.",Adición,Sides,,,,,,,Activo,,55b9f6c5-3091-4ad7-88f3-2465ff080a7d,205c9730-8e4b-4d57-a077-329daacb0399,PANADERIA,true,PANADERIA_REPOSTERIA_SALADA,,
Club colombia,Club colombia,6000,"Cervezas club dorada, club negra","Club dorada, Club Negra beers",Bebidas,Drinks,Frío,Cold,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=13N2KT3mrGWKaR567myGVCX7RObjeT2ro&sz=w1000-h1000,50ab11c1-4191-4e9a-a608-78d35dec7230,215cfda7-e6ad-4df9-bd9c-1d3ec25c362d,ENLATADOS,true,,,
Carne Desmechada,,22000,,,,,,,,,,,Activo,,,219c7124-369a-4a2b-84e0-a539274025ac,TARDEO,false,TARDEO_ALMUERZO,,"{
  ""fecha"": {
    ""dia"": ""viernes"",
    ""fecha"": ""2025-09-05""
  },
  ""entrada"": {
    ""nombre"": ""Sopa de Tortilla"",
    ""descripcion"": ""Sabrosa sopa con trocitos de tortilla frita.""
  },
  ""proteina"": {
    ""nombre"": ""Carne Desmechada (Cascara)"",
    ""descripcion"": ""Carne cascara, tierna y cocinada lentamente hasta desmechar.""
  },
  ""carbohidrato"": {
    ""nombre"": ""Arroz con Papa"",
    ""descripcion"": ""Una combinación contundente de arroz blanco con trozos de papa.""
  },
  ""acompanante"": {
    ""nombre"": ""Maduro con Queso"",
    ""descripcion"": ""El balance perfecto de dulce y salado: plátano maduro horneado con queso costeño.""
  },
  ""ensalada"": {
    ""nombre"": ""Ensalada de Rúgula y Tomate"",
    ""descripcion"": ""Ensalada con el sabor intenso de la rúgula, tomate fresco y un aderezo de vinagre balsámico.""
  },
  ""bebida"": {
    ""nombre"": ""Jugo de Piña"",
    ""descripcion"": ""Jugo tropical y refrescante de piña fresca para terminar la semana.""
  }
}"
Guandolo flor de Jamaica,Hibiscus flower guandolo,7000,"Bebida tradicional a base de panela, limón y naranja, con jarabe de flor de Jamaica","Tradicional drink made with panela, lemon and orange, with hibiscus flower syrup",Bebidas,Drinks,Frío,Cold,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=13bXCkZB_WzZ41JWqGQeIep9v2zkAMbxr&sz=w1000-h1000,0105e8db-ac17-44fe-b48c-65bb0db517af,27062f04-7583-49a5-8c12-dab8456e8e1c,BEBIDAS,,,,
POLLO_BECHAMEL,,22000,,,,,,,,,,,Activo,,,27565556-e1f5-4ff6-b23f-ff4e2efcbcbb,TARDEO,false,TARDEO_ALMUERZO,,"{
  ""fecha"": {
    ""dia"": ""martes"",
    ""fecha"": ""2025-08-26""
  },
  ""entrada"": {
    ""nombre"": ""Crema de espinaca "",
    ""descripcion"": ""De la granja de Juan ""
  },
  ""proteina"": {
    ""nombre"": ""Pollo a la bechamel "",
    ""descripcion"": ""Pechuga, en salsa bechamel con brócoli ""
  },
  ""proteina_opcion_2"": {
    ""nombre"": """",
    ""descripcion"": """"
  },
  ""carbohidrato"": {
    ""nombre"": ""Arroz con habichuela "",
    ""descripcion"": """"
  },
  ""acompanante"": {
    ""nombre"": ""Chips de papas "",
    ""descripcion"": ""Finas y crocantes ""
  },
  ""ensalada"": {
    ""nombre"": ""De lechuga "",
    ""descripcion"": """"
  },
  ""bebida"": {
    ""nombre"": ""De fruta fresca "",
    ""descripcion"": """"
  },
  ""lista"": [
    {
      ""order"": 1,
      ""nombre"": ""Liliana"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 2,
      ""nombre"": ""Lucia"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 3,
      ""nombre"": ""Federico"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 4,
      ""nombre"": ""Luces"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 5,
      ""nombre"": ""Martina"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 6,
      ""nombre"": ""2 Santos"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 7,
      ""nombre"": ""2 Santos"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 8,
      ""nombre"": ""Tati"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 9,
      ""nombre"": ""Andres"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 10,
      ""nombre"": ""Mesa Grande"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 11,
      ""nombre"": ""Amix Old"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 12,
      ""nombre"": ""Amix Old"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 13,
      ""nombre"": ""Joven"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 14,
      ""nombre"": ""Aurelio"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 15,
      ""nombre"": ""Extras"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 16,
      ""nombre"": ""Extras "",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    }
  ]
}"
Desechable para Comida,Disposable for Food,2000,,,,,,,,,,,,,,27c2aa0b-4468-4419-89c9-863849bb2be1,ADICIONES,,ADICIONES_COMIDAS,,
Chorizo y Mote,Chorizo & Mote,19000,"Arepa de Mote con Aguacate, Chorizo criollo y pico de gallo",Mote Arepa with Avocado farmers chorizo and pico de gallo,Desayuno,Breackfast,Salado,Salty,Carnico,Meat,NA,NA,Activo,https://drive.google.com/thumbnail?id=13xzpKD4PTi5-WzAIdg3LS8lpDBD7EeH1&sz=w1000-h1000,52bd9ee4-ac6f-4997-b266-ea61e3858647,27d110b0-b685-42eb-aa68-f1aac6115ceb,DESAYUNO,true,DESAYUNO_SALADO,,
Tinto,Tinto,4500,,,,,,,,,,,Activo,,f6b22292-c67e-4876-b098-64d7aaf12f9c,28bd5c5d-f134-456c-8bef-56c00407ca0a,CAFE,true,,,
Alfajor,Alfajor,6000,Sánduche de galletas suaves relleno de dulce de leche,Soft cookie sandwich filled with caramel spread,Postres,Deserts,Dulce,Sweet,NA,NA,NA,NA,Inactivo,https://drive.google.com/thumbnail?id=12BTi-KVzIyHeg7oKG3s6qI5HGUShkGQw&sz=w1000-h1000,,2bd8ce2f-5e56-4357-bb95-dff719a7c841,REPOSTERIA,,,,
Affogato con vino de café,"Coffee wine affogato ",10000,Helado de vainilla bañado en vino de café,Vanilla ice cream bathed in coffee wine,Café,Coffee,Frío,Cold,NA,NA,NA,NA,Activo,,79c7b41f-1ae1-4912-bde8-bda38a300643,2d21e926-b97c-4eff-ab2c-9db24cb905a9,CAFE,,,,
Latte espuma de café,Coffee foam latte,10000,Merengue de café con leche fría,Coffee merangue with cold milk,Café,Coffee,,,Vegetarino,Vegeterian,NA,NA,Activo,https://drive.google.com/thumbnail?id=145pVTlR7ztzWhgBn3TSTaTSP-lq81yFW&sz=w1000-h1000,1edf9b5c-e6db-4764-8194-2fee75fb1543,2ff185df-51a3-484a-8f03-aea3973878fa,CAFE,true,CAFE_METODOS,,
POLLO_CRISPY CON MIEL MOSTAZA,,22000,,,,,,,,,,,Activo,,,31bcc769-7afd-4d35-9445-55d948f5e702,TARDEO,false,TARDEO_ALMUERZO,,"{
  ""fecha"": {
    ""dia"": ""jueves"",
    ""fecha"": ""2025-08-21""
  },
  ""entrada"": {
    ""nombre"": ""Sopa de pasta"",
    ""descripcion"": """"
  },
  ""proteina"": {
    ""nombre"": ""Pollo Crispy con Miel Mostaza"",
    ""descripcion"": ""Apanado con panko y con mostaza Djon""
  },
  ""proteina_opcion_2"": {
    ""nombre"": """",
    ""descripcion"": """"
  },
  ""carbohidrato"": {
    ""nombre"": ""Arroz con ajonjolí"",
    ""descripcion"": ""Ligeramente tostado""
  },
  ""acompanante"": {
    ""nombre"": ""Chips de platano verde"",
    ""descripcion"": ""Con Mayo-ShackShuka""
  },
  ""ensalada"": {
    ""nombre"": ""Mix de lechuga, Zanahoria y Zuccini"",
    ""descripcion"": """"
  },
  ""bebida"": {
    ""nombre"": ""Jugo de frutas naturales"",
    ""descripcion"": """"
  },
  ""lista"": [
    {
      ""order"": 1,
      ""nombre"": ""Omaira"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""llevar"",
      ""notas"": """"
    },
    {
      ""order"": 2,
      ""nombre"": ""Federico"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""llevar"",
      ""notas"": """"
    },
    {
      ""order"": 3,
      ""nombre"": ""Lucia"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 4,
      ""nombre"": ""Tattoo"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 5,
      ""nombre"": ""Mauricio"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": ""903""
    },
    {
      ""order"": 6,
      ""nombre"": ""tataiana"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 7,
      ""nombre"": ""martina"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 8,
      ""nombre"": ""señor pollo"",
      ""option"": ""2"",
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 9,
      ""nombre"": ""señor pollo"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 10,
      ""nombre"": ""pareja"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": ""sin sopa""
    },
    {
      ""order"": 11,
      ""nombre"": ""pareja"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 12,
      ""nombre"": ""señora"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 13,
      ""nombre"": ""ben"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 14,
      ""nombre"": ""negro"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    }
  ]
}"
Adicion Sirope,Add Syrope,4000,,,Adición,Sides,,,,,,,,,,3215690d-f6c8-432e-8fca-974b37b05744,ADICIONES,,,,
Adicion Leche Almendras,Add Almont Milk,2000,,,Adición,Sides,,,,,,,Activo,,,322a5ab2-bc86-4e0d-8f6a-d6362bdc869a,ADICIONES,true,ADICIONES_BEBIDAS,,
Cold brew naranja & panela,Orange & panela cold brew,12500,"Infusión de café molido a temperatura ambiente, servido con un jarabe de naranja y panela y hielo","Room temperature steeped coffee, served with orange and panela syrup and ice",Café,Coffee,Frío,Cold,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=13IuduxjnKz4MMIim-v1To_KsJsaBx0aK&sz=w1000-h1000,4fecdb7d-e371-457b-91c4-6c96faf0d8c9,36258094-727d-4f92-9c4a-abd653dd4b0b,CAFE,true,,,
Adicion Sopa,Add Soup,6000,,,,,,,,,,,,,,3633592f-fea2-41b2-ab32-1a3b3efb5958,ADICIONES,true,ADICIONES_COMIDAS,,
Adicion Queso Mozzarella,Add Mozzarella Cheese,4000,,,Adición,Sides,,,,,,,Activo,,,366bf5aa-7f5e-4aa7-abc5-08141d74f615,ADICIONES,true,ADICIONES_COMIDAS,,
Prensa francesa,French press,7000,"Cuerpo denso, amargor leve y acidez baja","Dense body, slight bitterness and low acidity",Café,Coffee,Caliente,Hot,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=16hV8G7r31zZfAG10idTUUA3a2fH4cTZX&sz=w1000-h1000,fa7716d0-f911-43d2-af39-2c98e1c77a77,3a8d5b74-d98d-4c9d-a5a0-616c1fef370b,CAFE,true,CAFE_METODOS,,
Adicion Baileys,Add Baileys,5000,,,,,,,,,,,Activo,,,3ad4a0db-be58-47b9-b2e6-c14555362060,ADICIONES,true,ADICIONES_BEBIDAS,,
RES_MUCHACHO SUDADO,,22000,,,,,,,,,,,Activo,,,3d6f69df-472c-4c32-8c2d-8f3b13ad2156,TARDEO,false,TARDEO_ALMUERZO,,"{
  ""fecha"": {
    ""dia"": ""lunes"",
    ""fecha"": ""2025-08-25""
  },
  ""entrada"": {
    ""nombre"": ""Crema de ahuyama"",
    ""descripcion"": ""Con semillas de calabaza tostadas.""
  },
  ""proteina"": {
    ""nombre"": ""Muchacho sudado"",
    ""descripcion"": "" Res cocinado lentamente en una rica salsa gravy.""
  },
  ""carbohidrato"": {
    ""nombre"": ""Arroz con coco"",
    ""descripcion"": ""Delicioso arroz con el toque dulce y caribeño del coco, hecho en casa.""
  },
  ""acompanante"": {
    ""nombre"": ""Yuca Fritas"",
    ""descripcion"": ""Crocante por fuera, suave por dentro.""
  },
  ""ensalada"": {
    ""nombre"": ""Ensalada fresca del día"",
    ""descripcion"": ""Vinagreta de romero ""
  },
  ""bebida"": {
    ""nombre"": ""Jugo de frutos amarillos"",
    ""descripcion"": ""Ligeramente dulce""
  },
  ""proteina_opcion_2"": {
    ""nombre"": ""Pollo a la plancha "",
    ""descripcion"": ""Pechuga ""
  },
  ""lista"": [
    {
      ""order"": 1,
      ""nombre"": ""Omaira"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""llevar"",
      ""notas"": """"
    },
    {
      ""order"": 2,
      ""nombre"": ""lucia"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 3,
      ""nombre"": ""karen"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 4,
      ""nombre"": ""pareja"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 5,
      ""nombre"": ""andres"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 6,
      ""nombre"": ""tatiana"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 7,
      ""nombre"": ""tatiana"",
      ""option"": ""2"",
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 8,
      ""nombre"": ""Kate 2"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 9,
      ""nombre"": ""kate 2"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 10,
      ""nombre"": ""kate 2"",
      ""option"": ""2"",
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 11,
      ""nombre"": ""mauricio"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 12,
      ""nombre"": ""Juan Gabriel"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    }
  ]
}"
Brioche 660g,Brioche 660g,0,,,,,,,,,,,Activo,,,3f0adea1-575e-481d-a1ec-8d1ad990b8ff,PANADERIA,true,PANADERIA_REPOSTERIA_SALADA,,
Americano,Americano,6000,Doble espresso más agua,Double espresso base plus water,Café,Coffee,Caliente,Hot,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=125z7FsXw1T5F-5yMe5mNhU6eezN-5b-r&sz=w1000-h1000,29b92e76-3d68-4e38-a814-f841ea6e411d,3f5d73af-70a9-4ce2-862c-bf8caf450c99,CAFE,true,CAFE_ESPRESSO,2,
Lasagna: Carne o Pollo,Lasagna: Meat or Chicken,26000,,,,,,,,,,,Inactivo,,,4081e595-809f-48ca-9930-081a67c2cccb,TARDEO,,,,
Torta de banano y chocolate,Banana & chocolate cake,12000,"Textura cremosa de banano y chocolate, acompañada de nueces picadas","Creamy texture of banana and chocolate, accompanied by chopped nuts",Postres,Deserts,Dulce,Sweet,Vegetarino,Vegeterian,Nueces,Walnuts,Inactivo,https://drive.google.com/thumbnail?id=153U_H5x5NfnQybSlbyRxt9ALG_J2YkD5&sz=w1000-h1000,,425d2ed0-3297-436f-bdb1-19f026686058,REPOSTERIA,,,,
Cold brew leche,Milk cold brew,12500,"Infusión de café molido a temperatura ambiente, servido con leche y hielo","Room temperature steeped coffee, served with milk and ice",Café,Coffee,Frío,Cold,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=17O-41BGVIrnYg6TNuiXwEf-9djuG8WrL&sz=w1000-h1000,197da459-ce20-49e4-aa07-ab0aac7352da,42ae275f-db4d-47fd-a939-c2a5ee48071c,CAFE,,,,
